               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.037137,            0.017835,           0.0084341,             0.60674,             0.53753,              0.5016,             0.21334,            0.047723,            0.012058,            0.010906,            0.006832,            0.006832,            0.006832
                  98,            0.037483,            0.016855,           0.0092208,             0.73741,             0.52042,             0.54692,             0.24787,             0.04889,            0.011505,           0.0088161,            0.006799,            0.006799,            0.006799
                  99,            0.038266,            0.017742,           0.0073606,             0.57758,             0.49915,             0.50066,             0.17313,            0.049207,            0.013762,            0.014814,            0.006766,            0.006766,            0.006766
                 100,            0.040299,            0.018291,           0.0074041,             0.74109,             0.61255,             0.61465,             0.24874,            0.044574,            0.011583,           0.0089633,            0.006733,            0.006733,            0.006733
                 101,            0.037696,            0.017946,           0.0078204,             0.73769,             0.53739,             0.52538,             0.22129,              0.0496,            0.011239,            0.011519,              0.0067,              0.0067,              0.0067
                 102,            0.035417,            0.016596,           0.0059802,             0.70426,             0.56713,             0.53912,             0.23001,            0.050381,            0.011205,            0.010111,            0.006667,            0.006667,            0.006667
                 103,            0.037369,            0.016754,           0.0086363,             0.66512,             0.59351,                0.58,             0.25179,            0.051442,            0.011108,           0.0088996,            0.006634,            0.006634,            0.006634
                 104,            0.036167,            0.017943,           0.0071561,              0.7667,             0.53528,             0.56225,             0.25988,            0.052624,            0.010995,           0.0089472,            0.006601,            0.006601,            0.006601
                 105,            0.036848,            0.017093,           0.0084784,             0.53149,             0.46388,             0.46609,             0.20935,            0.061259,            0.010738,            0.010119,            0.006568,            0.006568,            0.006568
                 106,            0.035555,            0.016535,            0.007936,             0.53504,             0.35232,             0.38068,             0.14961,            0.049886,             0.01098,            0.010828,            0.006535,            0.006535,            0.006535
                 107,            0.036989,            0.016983,           0.0075339,             0.64896,             0.46336,             0.49844,             0.23407,            0.054222,            0.011119,            0.011455,            0.006502,            0.006502,            0.006502
                 108,            0.036794,            0.016571,           0.0090395,              0.6287,             0.43534,             0.48422,             0.19744,            0.047232,            0.011572,            0.014015,            0.006469,            0.006469,            0.006469
                 109,            0.036188,            0.016663,           0.0064108,             0.73627,             0.36573,             0.38062,             0.11602,            0.052218,            0.011718,            0.013373,            0.006436,            0.006436,            0.006436
                 110,            0.035457,            0.017098,           0.0070711,             0.47744,             0.36333,             0.42773,             0.19004,            0.056774,            0.010934,            0.011583,            0.006403,            0.006403,            0.006403
                 111,            0.036164,             0.01683,           0.0061989,              0.5971,             0.53524,             0.51896,             0.21275,            0.047892,            0.011823,           0.0098659,             0.00637,             0.00637,             0.00637
                 112,            0.035653,            0.016969,           0.0083022,             0.61782,             0.47282,               0.503,             0.19271,            0.050612,            0.012195,           0.0091304,            0.006337,            0.006337,            0.006337
